1|2|a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?|50|60|45|35|60
2|2|two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?|10.11|8.11|77.2|13.15|8.11
3|2|calculate the ratio between x and y if 30 % of x equal to 50 % of y ?|4 : 5|3 : 5|3 : 7|3 : 2|3 : 5
4|2|three walls have wallpaper covering a combined area of 300 square meters . by overlapping the wallpaper to cover a wall with an area of 180 square meters , the area that is covered by exactly two layers of wallpaper is 34 square meters . what is the area that is covered with three layers of wallpaper ?|43 square meters|36 square meters|42 square meters|83.3 square meters|36 square meters
5|2|a trader bought a car at 20 % discount on its original price . he sold it at a 40 % increase on the price he bought it . what percent of profit did he make on the original price ?|82 %|52 %|12 %|19 %|52 %
6|2|a start walking from a place at a uniform speed of 6 kmph in a particular direction . after half an hour , b starts from the same place and walks in the same direction as a at a uniform speed and overtakes a after 1 hour 48 minutes . find the speed of b .|4.7 kmph|6.6 kmph|4 kmph|7 kmph|6.6 kmph
7|2|oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?|4 th|5 th|6 th|7 th|5 th
8|2|the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?|76|28|50|80|28
9|2|kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?|2 / 5|7 / 5|3 / 5|8 / 15|7 / 5
10|2|$ 350 is divided among a , b , and c so that a receives half as much as b , and b receives half as much as c . how much money is c ' s share ?|$ 200|$ 225|$ 250|$ 275|$ 225
11|2|in an it company , there are a total of 90 employees including 50 programmers . the number of male employees is 80 , including 35 male programmers . how many employees must be selected to guaranty that we have 3 programmers of the same sex ?|10|45|55|35|45
12|2|the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if arthur and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ?|$ 0.32|$ 0.40|$ 0.45|$ 0.48|$ 0.40
13|2|( 3 x + 1 ) ( 2 x - 5 ) = ax ^ 2 + kx + n . what is the value of a - n + k ?|5|8|9|14|8
14|2|if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?|5|4|6|7|4
15|2|the maximum number of students among them 1345 pens and 775 pencils can be distributed in such a way that each student gets the same number of pens and same number of pencils is :|91|10|6|5|10
16|2|a sum of rs . 1360 has been divided among a , b and c such that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets . b ' s share is :|rs . 120|rs . 160|rs . 240|rs . 300|rs . 160
17|2|how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .|106|109|108|101|109
18|2|two - third of a positive number and 16 / 216 of its reciprocal are equal . find the positive number .|4 / 12|4 / 17|4 / 15|4 / 11|4 / 17
19|2|find large number from below question the difference of two numbers is 1365 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder|1235|1346|1378|1635|1346
20|2|the average of first three prime numbers greater than 5 is ?|12.6|12.9|22.3|10.3|12.9
21|2|if 12 : 8 : : x : 16 , then find the value of x|18|24|28|16|24
22|2|what least number must be subtracted from 3832 so that the remaining number is divisible by 5 ?|1|2|3|4|2
23|2|find the length of the wire required to go 14 times round a square field containing 5625 m 2 .|15840|3388|4200|8766|3388
24|2|how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?|5600|6000|237|7200|6000
25|2|spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?|144 hours|124 hours|134 hours|154 hours|124 hours
26|2|a began business with rs . 45000 and was joined afterwards by b with rs . 5400 . when did b join if the profits at the end of the year were divided in the ratio of 2 : 1 ?|7|8|9|6|8
27|2|a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?|15 hours|14 hours|12 hours|74 hours|14 hours
28|2|how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?|48|36|26|39|36
29|2|today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?|1 day|2 days|7 days|6 days|2 days
30|2|an article is bought for rs . 675 and sold for rs . 1100 , find the gain percent ?|65 %|64 %|63 %|62 %|64 %
31|2|in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :|2|4|7|12|4
32|2|a salesperson received a commission of 3 percent of the sale price for each of the first 100 machines that she sold and 4 percent of the sale price for each machine that she sold after the first 100 . if the sale price of each machine was $ 10,000 and the salesperson received a $ 45,000 commission , how many machines did she sell ?|140|103|105|115|103
33|2|solve the equation for x : 6 x - 27 + 3 x = 4 + 9 - x|1|2|3|4|2
34|2|a profit of rs . 900 is divided between x and y in the ratio of 1 / 2 : 1 / 3 . what is the difference between their profit shares ?|s . 280|s . 180|s . 380|s . 50|s . 180
35|2|calculate the share of y , if rs . 2880 is divided among x , y and z in the ratio 3 : 5 : 8 ?|540|520|140|560|520
36|2|3 years ago , paula was 3 times as old as karl . in 9 years , paula will be twice as old as karl . what is the sum of their ages now ?|42|46|50|54|46
37|2|a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?|90|120|60|95|120
38|2|if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream|6 kmph|5 kmph|2 kmph|3 kmph|5 kmph
39|2|the digital sum of a number is the sum of its digits . for how many of the positive integers 24 - 140 inclusive is the digital sum a multiple of 7 ?|7|8|14|15|8
40|2|20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?|10 .|4 .|5 .|6|4 .
41|2|if a student loses 6 kilograms , he will weigh twice as much as his sister . together they now weigh 126 kilograms . what is the student ' s present weight in kilograms ?|82|84|86|88|84
42|2|a person buys an article at rs . 575 . at what price should he sell the article so as to make a profit of 15 % ?|600|277|269|661.25|277
43|2|two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?|41.4|34.1|13.4|12.4|34.1
44|2|an amount of rs . 1638 was divided among a , b and c , in the ratio 1 / 2 : 1 / 3 : 1 / 4 . find the share of a ?|656|456|756|745|456
45|2|what least value should be replaced by * in 2551112 * so the number become divisible by 6|3|4|5|6|4
